ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1777906	5.03e-02	1.52e-02	-2.43	-4.043783	-1.02e-01	556503437	MAP7D1	MAP7 domain containing 1
ILMN_2120360	5.03e-02	1.52e-02	-2.43	-4.043831	-7.75e-02	NA		
ILMN_2328327	5.03e-02	1.52e-02	-2.43	-4.043885	-7.05e-02	333360854	SMTN	smoothelin
ILMN_1682938	5.03e-02	1.52e-02	2.43	-4.044012	1.44e-01	186910284	ARF3	ADP ribosylation factor 3
ILMN_1704078	5.03e-02	1.52e-02	2.43	-4.044137	2.12e-02	227498240	ACTL8	actin like 8
ILMN_1803162	5.04e-02	1.52e-02	-2.43	-4.044473	-1.50e-01	323510679	RTEL1	regulator of telomere elongation helicase 1
ILMN_1680279	5.04e-02	1.52e-02	-2.43	-4.044727	-2.03e-01	557440745	USP49	ubiquitin specific peptidase 49
ILMN_2041327	5.04e-02	1.52e-02	2.43	-4.045099	1.41e-01	169646422	MRPL37	mitochondrial ribosomal protein L37
ILMN_1759579	5.04e-02	1.52e-02	-2.43	-4.045463	-8.54e-02	NA		
ILMN_1797576	5.05e-02	1.52e-02	2.43	-4.046636	1.42e-01	54792083	PLEKHA3	pleckstrin homology domain containing A3
ILMN_1722364	5.05e-02	1.52e-02	2.43	-4.046648	9.43e-03	40354200	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1
ILMN_2112460	5.05e-02	1.53e-02	-2.43	-4.04714	-6.70e-02	194688136	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)
ILMN_2098437	5.05e-02	1.53e-02	2.43	-4.047256	2.30e-01	54400739	ST13P4	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) pseudogene 4
ILMN_1803560	5.05e-02	1.53e-02	-2.43	-4.047348	-1.50e-01	118640874	LAT2	linker for activation of T-cells family member 2
ILMN_1657812	5.05e-02	1.53e-02	-2.43	-4.047691	-7.08e-02	NA		
ILMN_1673158	5.05e-02	1.53e-02	-2.43	-4.047867	-7.53e-02	NA		
ILMN_2405009	5.06e-02	1.53e-02	2.43	-4.048633	1.08e-01	498917233	NBL1	neuroblastoma 1, DAN family BMP antagonist
ILMN_1695864	5.06e-02	1.53e-02	-2.43	-4.049508	-1.02e-01	NA		
ILMN_1679177	5.06e-02	1.53e-02	2.43	-4.049517	1.74e-01	315360653	MARS2	methionyl-tRNA synthetase 2, mitochondrial
ILMN_1815445	5.06e-02	1.53e-02	-2.43	-4.050047	-1.39e-01	262118208	IDS	iduronate 2-sulfatase
ILMN_1790807	5.06e-02	1.53e-02	2.43	-4.050184	1.14e-01	224809294	XPC	XPC complex subunit, DNA damage recognition and repair factor
ILMN_2124187	5.06e-02	1.53e-02	2.43	-4.050326	2.14e-01	737675428	TSC22D2	TSC22 domain family member 2
ILMN_1704713	5.06e-02	1.53e-02	2.43	-4.050359	1.37e-01	1044873366	CSNK1G1	casein kinase 1 gamma 1
ILMN_1910165	5.07e-02	1.53e-02	2.43	-4.051198	3.57e-02	19686896		
ILMN_1794038	5.08e-02	1.54e-02	-2.43	-4.052584	-1.53e-01	288557346	FAM49A	family with sequence similarity 49 member A
ILMN_1798528	5.08e-02	1.54e-02	2.43	-4.052685	1.51e-01	284807145	SULT1A2	sulfotransferase family 1A member 2
ILMN_1729269	5.08e-02	1.54e-02	-2.43	-4.052764	-1.57e-01	NA		
ILMN_1652206	5.08e-02	1.54e-02	-2.43	-4.05287	-6.83e-02	NA		
ILMN_2318811	5.08e-02	1.54e-02	2.43	-4.052991	1.07e-01	194097488	RANBP3	RAN binding protein 3
ILMN_1712560	5.08e-02	1.54e-02	2.43	-4.053034	1.78e-01	295842308	SF1	splicing factor 1
ILMN_1669545	5.08e-02	1.54e-02	-2.43	-4.05344	-8.13e-02	NA		
ILMN_1663195	5.08e-02	1.54e-02	2.43	-4.053637	1.40e-01	518830595	MCM7	minichromosome maintenance complex component 7
ILMN_3237319	5.08e-02	1.54e-02	-2.43	-4.054055	-1.44e-01	749385098	CD27-AS1	CD27 antisense RNA 1
ILMN_1753010	5.08e-02	1.54e-02	2.43	-4.054413	1.47e-01	296278253	GATB	glutamyl-tRNA amidotransferase subunit B
ILMN_1664170	5.08e-02	1.54e-02	2.43	-4.05481	2.95e-02	134152700	CELF2	CUGBP, Elav-like family member 2
ILMN_1772185	5.09e-02	1.54e-02	-2.43	-4.055023	-9.62e-02	NA		
ILMN_2320641	5.09e-02	1.54e-02	-2.43	-4.055047	-8.17e-02	461496472	NBPF7	neuroblastoma breakpoint family member 7
ILMN_1764619	5.09e-02	1.54e-02	-2.43	-4.055186	-1.73e-01	NA		
ILMN_2217212	5.09e-02	1.54e-02	2.43	-4.05543	1.58e-01	224548998	ZNF564	zinc finger protein 564
ILMN_1824102	5.09e-02	1.54e-02	-2.43	-4.055802	-8.08e-02	13530054		
ILMN_1686531	5.09e-02	1.54e-02	-2.43	-4.055926	-1.21e-01	NA		
ILMN_1766793	5.09e-02	1.54e-02	2.43	-4.056417	9.52e-02	359465531	RPP25L	ribonuclease P/MRP subunit p25 like
ILMN_1746986	5.09e-02	1.54e-02	2.43	-4.056801	9.19e-02	47080102	SLC39A3	solute carrier family 39 member 3
ILMN_1781721	5.09e-02	1.54e-02	2.43	-4.056973	9.77e-02	1016470403	DDX31	DEAD-box helicase 31
ILMN_1703180	5.09e-02	1.54e-02	-2.43	-4.056984	-1.63e-01	20270187	ETV3	ETS variant 3
ILMN_1684494	5.10e-02	1.54e-02	-2.43	-4.057513	-7.01e-02	NA		
ILMN_1684865	5.10e-02	1.54e-02	2.43	-4.058104	3.42e-02	91106201	GPR22	G protein-coupled receptor 22
ILMN_1777049	5.10e-02	1.55e-02	2.43	-4.058312	1.93e-01	156547243	ZNF160	zinc finger protein 160
ILMN_1709645	5.10e-02	1.55e-02	2.43	-4.058594	1.97e-02	289803001	CBX2	chromobox 2
ILMN_1810805	5.10e-02	1.55e-02	2.43	-4.058898	1.34e-01	733214468	HEATR5B	HEAT repeat containing 5B
ILMN_1754156	5.11e-02	1.55e-02	-2.43	-4.059468	-1.40e-01	NA		
ILMN_2056975	5.11e-02	1.55e-02	2.43	-4.059792	1.34e-01	164518913	HPRT1	hypoxanthine phosphoribosyltransferase 1
ILMN_2403228	5.11e-02	1.55e-02	-2.43	-4.059819	-3.55e-01	189181662	CLEC12A	C-type lectin domain family 12 member A
ILMN_1893548	5.11e-02	1.55e-02	-2.43	-4.059855	-6.69e-02	NA		
ILMN_3246174	5.11e-02	1.55e-02	2.42	-4.06024	8.99e-03	NA		
ILMN_1812262	5.11e-02	1.55e-02	-2.42	-4.060514	-1.77e-01	83977449	DDR1	discoidin domain receptor tyrosine kinase 1
ILMN_1659770	5.11e-02	1.55e-02	-2.42	-4.060637	-8.17e-02	449310804	KCNJ15	potassium voltage-gated channel subfamily J member 15
ILMN_1714710	5.11e-02	1.55e-02	2.42	-4.060933	1.27e-01	425905340	CCDC120	coiled-coil domain containing 120
ILMN_1744709	5.11e-02	1.55e-02	2.42	-4.061375	4.90e-02	95089460	DLG5	discs large MAGUK scaffold protein 5
ILMN_1722830	5.12e-02	1.55e-02	-2.42	-4.062345	-8.05e-02	148276976	MAGEA1	MAGE family member A1
ILMN_1779510	5.12e-02	1.55e-02	-2.42	-4.063256	-9.26e-02	111118993	ADGRB1	adhesion G protein-coupled receptor B1
ILMN_3309224	5.13e-02	1.55e-02	-2.42	-4.063517	-7.26e-02	262205671	MIR23A	microRNA 23a
ILMN_1720501	5.13e-02	1.56e-02	-2.42	-4.063991	-1.08e-01	88999587	ABCA9	ATP binding cassette subfamily A member 9
ILMN_1862900	5.13e-02	1.56e-02	-2.42	-4.064593	-7.66e-02	21250361		
ILMN_1662681	5.13e-02	1.56e-02	-2.42	-4.064837	-6.25e-02	392306970	AMBRA1	autophagy and beclin 1 regulator 1
ILMN_2061435	5.13e-02	1.56e-02	2.42	-4.065348	7.45e-02	290543313	MEG3	maternally expressed 3 (non-protein coding)
ILMN_1754220	5.14e-02	1.56e-02	2.42	-4.065588	1.23e-01	54112114	SF3A2	splicing factor 3a subunit 2
ILMN_1887656	5.14e-02	1.56e-02	-2.42	-4.066024	-6.29e-02	2053814	TMEM72-AS1	TMEM72 antisense RNA 1
ILMN_1779406	5.14e-02	1.56e-02	-2.42	-4.066035	-8.87e-02	530788279	OR2Z1	olfactory receptor family 2 subfamily Z member 1
ILMN_1681310	5.14e-02	1.56e-02	-2.42	-4.066433	-1.56e-01	NA		
ILMN_3236838	5.14e-02	1.56e-02	2.42	-4.06698	6.47e-02	167860113	JMJD7	jumonji domain containing 7
ILMN_1781833	5.15e-02	1.56e-02	-2.42	-4.068299	-7.23e-02	164565426	BOLL	boule homolog, RNA binding protein
ILMN_3241411	5.15e-02	1.56e-02	-2.42	-4.068394	-5.86e-02	NA		
ILMN_1763297	5.15e-02	1.56e-02	-2.42	-4.068921	-7.36e-02	392050763	ICE1	interactor of little elongation complex ELL subunit 1
ILMN_3270542	5.15e-02	1.56e-02	2.42	-4.069082	9.99e-02	NA		
ILMN_1699585	5.16e-02	1.57e-02	-2.42	-4.069519	-5.65e-02	319803059	BHLHE22	basic helix-loop-helix family member e22
ILMN_1891857	5.16e-02	1.57e-02	2.42	-4.070209	1.47e-01	6807811	RAB2A	RAB2A, member RAS oncogene family
ILMN_1787885	5.16e-02	1.57e-02	-2.42	-4.070669	-1.67e-01	118026926	NUDT18	nudix hydrolase 18
ILMN_2099858	5.17e-02	1.57e-02	-2.42	-4.071926	-8.16e-02	32563551	TTTY19	testis-specific transcript, Y-linked 19 (non-protein coding)
ILMN_3236498	5.17e-02	1.57e-02	2.42	-4.071938	3.26e-01	212276166	PSMD5-AS1	PSMD5 antisense RNA 1 (head to head)
ILMN_1675501	5.17e-02	1.57e-02	-2.42	-4.072086	-1.28e-01	159032028	SENP5	SUMO1/sentrin specific peptidase 5
ILMN_3272374	5.17e-02	1.57e-02	2.42	-4.072939	7.29e-03	NA		
ILMN_3238491	5.17e-02	1.57e-02	2.42	-4.072975	4.98e-02	214831164	LOC100129055	cyclin Y like 1 pseudogene
ILMN_3311075	5.18e-02	1.57e-02	-2.42	-4.073881	-1.09e-01	269847656	MIR1915	microRNA 1915
ILMN_2339705	5.18e-02	1.57e-02	2.42	-4.074893	1.75e-01	442565694	MED8	mediator complex subunit 8
ILMN_1772845	5.19e-02	1.58e-02	2.42	-4.075701	1.62e-01	531990805	SNRNP35	small nuclear ribonucleoprotein U11/U12 subunit 35
ILMN_2185984	5.19e-02	1.58e-02	-2.42	-4.075827	-1.91e-01	45935384	SASH1	SAM and SH3 domain containing 1
ILMN_2204909	5.19e-02	1.58e-02	-2.42	-4.076067	-1.88e-01	4885656	XRCC2	X-ray repair cross complementing 2
ILMN_1692294	5.19e-02	1.58e-02	-2.42	-4.076248	-6.30e-02	NA		
ILMN_1690356	5.19e-02	1.58e-02	-2.42	-4.076388	-8.83e-02	NA		
ILMN_2412336	5.19e-02	1.58e-02	-2.42	-4.076505	-1.11e-01	359751395	AKR1C2	aldo-keto reductase family 1, member C2
ILMN_1759550	5.19e-02	1.58e-02	-2.42	-4.076646	-8.67e-02	NA		
ILMN_2169801	5.20e-02	1.58e-02	-2.42	-4.07736	-8.72e-02	61744442	TPSAB1	tryptase alpha/beta 1
ILMN_3297130	5.20e-02	1.58e-02	2.42	-4.077846	1.20e-01	NA		
ILMN_1682399	5.20e-02	1.58e-02	-2.42	-4.077861	-1.62e-01	392841205	CLOCK	clock circadian regulator
ILMN_2106227	5.20e-02	1.58e-02	2.42	-4.078037	1.77e-01	148612837	KIAA2026	KIAA2026
ILMN_1675697	5.20e-02	1.58e-02	-2.42	-4.078696	-1.25e-01	NA		
ILMN_1656921	5.20e-02	1.58e-02	-2.42	-4.078832	-8.53e-02	NA		
ILMN_1796851	5.20e-02	1.58e-02	-2.42	-4.079043	-6.63e-02	NA		
ILMN_1736021	5.21e-02	1.58e-02	2.42	-4.080224	2.03e-01	89276755	PRPF4B	pre-mRNA processing factor 4B
ILMN_1670503	5.21e-02	1.58e-02	2.42	-4.080309	2.40e-02	NA		
ILMN_1700549	5.21e-02	1.59e-02	2.42	-4.080987	1.13e-01	154800458	ERLIN2	ER lipid raft associated 2
ILMN_1882844	5.21e-02	1.59e-02	2.42	-4.081262	4.39e-02	27843753		
ILMN_1745688	5.22e-02	1.59e-02	-2.42	-4.082272	-9.23e-02	38016938	HPD	4-hydroxyphenylpyruvate dioxygenase
ILMN_1661554	5.22e-02	1.59e-02	2.42	-4.082932	1.20e-01	189083689	DIAPH1	diaphanous related formin 1
ILMN_1873215	5.23e-02	1.59e-02	-2.42	-4.083283	-8.05e-02	27879075		
ILMN_1894072	5.23e-02	1.59e-02	2.42	-4.083674	1.17e-01	24124017	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma
ILMN_1806022	5.23e-02	1.59e-02	-2.42	-4.083808	-1.21e-01	NA		
ILMN_1788531	5.23e-02	1.59e-02	2.41	-4.084459	2.01e-01	40068036	SIT1	signaling threshold regulating transmembrane adaptor 1
ILMN_3299520	5.23e-02	1.59e-02	2.41	-4.085074	1.23e-01	197100056	PRKCB	protein kinase C beta
ILMN_1697880	5.24e-02	1.59e-02	-2.41	-4.085734	-1.75e-01	340805821	PLD2	phospholipase D2
ILMN_1653428	5.24e-02	1.60e-02	2.41	-4.086222	1.32e-02	94536773	SPINK9	serine peptidase inhibitor, Kazal type 9
ILMN_1799887	5.24e-02	1.60e-02	-2.41	-4.086949	-1.59e-01	315013576	CTSE	cathepsin E
ILMN_2167011	5.25e-02	1.60e-02	2.41	-4.087945	1.96e-01	157694518	ECHDC1	ethylmalonyl-CoA decarboxylase 1
ILMN_1653940	5.25e-02	1.60e-02	-2.41	-4.08817	-5.65e-02	188528691	USP2	ubiquitin specific peptidase 2
ILMN_2322499	5.25e-02	1.60e-02	2.41	-4.088747	1.96e-01	213385297	RORA	RAR related orphan receptor A
ILMN_2274531	5.26e-02	1.60e-02	-2.41	-4.089269	-1.48e-01	325651891	ZNF586	zinc finger protein 586
ILMN_3293843	5.26e-02	1.60e-02	2.41	-4.089355	2.53e-02	225903391	FAM27C	family with sequence similarity 27 member C
ILMN_1792603	5.26e-02	1.60e-02	-2.41	-4.089589	-6.62e-02	NA		
ILMN_1710873	5.27e-02	1.61e-02	2.41	-4.091493	1.72e-01	635172831	ZNF330	zinc finger protein 330
ILMN_1758928	5.27e-02	1.61e-02	-2.41	-4.091882	-1.10e-01	NA		
ILMN_1717793	5.27e-02	1.61e-02	-2.41	-4.092047	-2.60e-01	961349588	C19orf33	chromosome 19 open reading frame 33
ILMN_1670589	5.27e-02	1.61e-02	-2.41	-4.092169	-1.16e-01	NA		
ILMN_1731745	5.28e-02	1.61e-02	-2.41	-4.092932	-1.94e-01	661567382	NINJ2	ninjurin 2
ILMN_1766643	5.28e-02	1.61e-02	2.41	-4.092968	7.13e-02	224451020	HOPX	HOP homeobox
ILMN_3242234	5.28e-02	1.61e-02	2.41	-4.093497	8.52e-02	NA		
ILMN_1784577	5.28e-02	1.61e-02	2.41	-4.093618	1.80e-01	110349773	ZNF12	zinc finger protein 12
ILMN_2226691	5.28e-02	1.61e-02	-2.41	-4.093878	-9.54e-02	51972225	C7orf61	chromosome 7 open reading frame 61
ILMN_3238554	5.28e-02	1.61e-02	2.41	-4.094012	5.08e-02	95007010	SNORA80A	small nucleolar RNA, H/ACA box 80A
ILMN_1752481	5.28e-02	1.61e-02	-2.41	-4.09418	-5.31e-02	325301087	COX6A2	cytochrome c oxidase subunit 6A2
ILMN_1782305	5.29e-02	1.61e-02	2.41	-4.095015	1.65e-01	187423888	NR4A2	nuclear receptor subfamily 4 group A member 2
ILMN_1758663	5.29e-02	1.61e-02	-2.41	-4.095072	-6.17e-02	52317103	OR5AR1	olfactory receptor family 5 subfamily AR member 1 (gene/pseudogene)
ILMN_1781345	5.29e-02	1.61e-02	-2.41	-4.095428	-5.62e-02	661902999	RAD52	RAD52 homolog, DNA repair protein
ILMN_1741148	5.29e-02	1.61e-02	-2.41	-4.095924	-1.10e-01	342187198	ALDOA	aldolase, fructose-bisphosphate A
ILMN_1779353	5.29e-02	1.61e-02	2.41	-4.095938	1.69e-01	970414588	PUS7	pseudouridylate synthase 7 (putative)
ILMN_1705330	5.30e-02	1.62e-02	2.41	-4.097046	6.65e-02	NA		
ILMN_1786831	5.30e-02	1.62e-02	-2.41	-4.09719	-7.24e-02	NA		
ILMN_3309041	5.30e-02	1.62e-02	-2.41	-4.09747	-8.81e-02	269847068	MIR1237	microRNA 1237
ILMN_1730454	5.30e-02	1.62e-02	-2.41	-4.097901	-3.35e-01	968121893	FOLR3	folate receptor 3
ILMN_1677609	5.30e-02	1.62e-02	-2.41	-4.098396	-8.79e-02	NA		
ILMN_1813259	5.31e-02	1.62e-02	-2.41	-4.099244	-6.50e-02	NA		
ILMN_2315569	5.31e-02	1.62e-02	2.41	-4.0993	9.62e-02	669174631	N6AMT1	N-6 adenine-specific DNA methyltransferase 1 (putative)
ILMN_1803712	5.31e-02	1.62e-02	-2.41	-4.099304	-7.29e-02	NA		
ILMN_1728517	5.31e-02	1.62e-02	-2.41	-4.099482	-1.76e-01	42476119	FNTB	farnesyltransferase, CAAX box, beta
ILMN_1652927	5.31e-02	1.62e-02	-2.41	-4.099684	-5.97e-02	NA		
ILMN_1812249	5.31e-02	1.62e-02	2.41	-4.099703	1.15e-01	720071551	C15orf54	chromosome 15 open reading frame 54
ILMN_1893686	5.31e-02	1.62e-02	-2.41	-4.100359	-1.05e-01	1425717		
ILMN_1651408	5.31e-02	1.62e-02	2.41	-4.100702	3.07e-02	NA		
ILMN_2058327	5.32e-02	1.62e-02	-2.41	-4.101112	-7.96e-02	NA		
ILMN_1769091	5.32e-02	1.62e-02	-2.41	-4.10157	-1.11e-01	984655784	PRCP	prolylcarboxypeptidase
ILMN_1663370	5.32e-02	1.62e-02	2.41	-4.101583	1.11e-02	330864793	CCDC62	coiled-coil domain containing 62
ILMN_1740706	5.32e-02	1.63e-02	-2.41	-4.102691	-6.72e-02	45269147	PMP2	peripheral myelin protein 2
ILMN_1662128	5.32e-02	1.63e-02	-2.41	-4.102728	-1.51e-01	313747433	ISY1	ISY1 splicing factor homolog
ILMN_1685625	5.33e-02	1.63e-02	2.41	-4.102923	1.96e-01	13259540	UCP2	uncoupling protein 2
ILMN_1771696	5.33e-02	1.63e-02	-2.41	-4.103117	-7.37e-02	NA		
ILMN_3252621	5.33e-02	1.63e-02	2.41	-4.103448	2.79e-02	NA		
ILMN_1793894	5.33e-02	1.63e-02	-2.41	-4.103659	-9.55e-02	212275982	ANAPC13	anaphase promoting complex subunit 13
ILMN_1667826	5.33e-02	1.63e-02	-2.41	-4.104127	-7.92e-02	157674355	SERPINE3	serpin family E member 3
ILMN_2405190	5.33e-02	1.63e-02	2.41	-4.104253	2.91e-02	94721251	VAPA	VAMP associated protein A
ILMN_1773613	5.33e-02	1.63e-02	-2.41	-4.104289	-1.10e-01	347658962	POU2F3	POU class 2 homeobox 3
ILMN_1673360	5.33e-02	1.63e-02	2.41	-4.104476	5.51e-03	66933013	BDH2	3-hydroxybutyrate dehydrogenase, type 2
ILMN_1836193	5.33e-02	1.63e-02	-2.41	-4.10452	-5.75e-02	5396492		
ILMN_1804498	5.33e-02	1.63e-02	2.41	-4.104653	1.80e-01	304555613	BRAT1	BRCA1 associated ATM activator 1
ILMN_1681454	5.33e-02	1.63e-02	-2.41	-4.104858	-9.80e-02	5454015	RP1	retinitis pigmentosa 1 (autosomal dominant)
ILMN_1685958	5.33e-02	1.63e-02	2.41	-4.105152	3.94e-03	269973851	CDH26	cadherin 26
ILMN_1678080	5.34e-02	1.63e-02	2.41	-4.105669	5.62e-02	206725528	FKBP2	FK506 binding protein 2
ILMN_1714274	5.35e-02	1.63e-02	2.41	-4.107065	7.42e-02	523567534	ZNF274	zinc finger protein 274
ILMN_3243738	5.35e-02	1.63e-02	-2.41	-4.107108	-9.27e-02	NA		
ILMN_1749009	5.35e-02	1.64e-02	2.41	-4.107656	1.54e-01	224496105	REXO2	RNA exonuclease 2
ILMN_1699205	5.35e-02	1.64e-02	-2.40	-4.108106	-6.64e-02	60218900	C1orf146	chromosome 1 open reading frame 146
ILMN_1742400	5.35e-02	1.64e-02	2.40	-4.108289	1.38e-01	171184450	CEP350	centrosomal protein 350
ILMN_3294028	5.35e-02	1.64e-02	2.40	-4.108327	4.04e-02	NA		
ILMN_1675992	5.36e-02	1.64e-02	2.40	-4.109769	5.72e-03	291290966	DST	dystonin
ILMN_1777591	5.36e-02	1.64e-02	-2.40	-4.110337	-7.46e-02	198041713	HOGA1	4-hydroxy-2-oxoglutarate aldolase 1
ILMN_1689128	5.36e-02	1.64e-02	-2.40	-4.110458	-1.02e-01	NA		
ILMN_2085236	5.37e-02	1.64e-02	2.40	-4.111001	2.52e-02	196259810	SNX24	sorting nexin 24
ILMN_1691431	5.37e-02	1.64e-02	-2.40	-4.11118	-8.92e-02	948284270	TVP23B	trans-golgi network vesicle protein 23 homolog B (S. cerevisiae)
ILMN_1795865	5.37e-02	1.64e-02	2.40	-4.111377	1.86e-01	51988909	FGFRL1	fibroblast growth factor receptor-like 1
ILMN_1806633	5.37e-02	1.64e-02	-2.40	-4.112115	-1.11e-01	NA		
ILMN_1681542	5.38e-02	1.65e-02	-2.40	-4.113708	-2.01e-01	21264600	HIST1H4E	histone cluster 1, H4e
ILMN_1784264	5.39e-02	1.65e-02	-2.40	-4.114444	-1.14e-01	211938415	TNFSF13	tumor necrosis factor superfamily member 13
ILMN_1695135	5.39e-02	1.65e-02	-2.40	-4.115429	-1.55e-01	215598886	GCM1	glial cells missing homolog 1
ILMN_1663220	5.39e-02	1.65e-02	2.40	-4.115535	1.70e-01	169636429	MRPL22	mitochondrial ribosomal protein L22
ILMN_1772091	5.40e-02	1.65e-02	-2.40	-4.116649	-6.88e-02	1046552715	TAS2R20	taste 2 receptor member 20
ILMN_1767535	5.40e-02	1.65e-02	-2.40	-4.116857	-9.35e-02	NA		
ILMN_1680432	5.40e-02	1.65e-02	-2.40	-4.117008	-9.45e-02	225690557	KRTAP4-7	keratin associated protein 4-7
ILMN_3247928	5.40e-02	1.65e-02	-2.40	-4.117387	-6.53e-02	NA		
ILMN_1811114	5.41e-02	1.65e-02	-2.40	-4.118175	-6.93e-02	33469957	SDS	serine dehydratase
ILMN_1790589	5.41e-02	1.66e-02	-2.40	-4.118294	-6.23e-02	NA		
ILMN_1798038	5.41e-02	1.66e-02	-2.40	-4.118498	-9.18e-02	NA		
ILMN_1676520	5.41e-02	1.66e-02	-2.40	-4.118671	-1.06e-01	383276551	FGF7P6	fibroblast growth factor 7 pseudogene 6
ILMN_1663873	5.41e-02	1.66e-02	-2.40	-4.119073	-9.26e-02	296010793	MMP13	matrix metallopeptidase 13
ILMN_2357382	5.41e-02	1.66e-02	2.40	-4.119124	7.69e-02	189409139	TERF1	telomeric repeat binding factor 1
ILMN_1853242	5.41e-02	1.66e-02	-2.40	-4.11951	-5.36e-02	27830333		
ILMN_1663665	5.42e-02	1.66e-02	-2.40	-4.120218	-9.02e-02	545477288	CFAP77	cilia and flagella associated protein 77
ILMN_2106331	5.42e-02	1.66e-02	-2.40	-4.120898	-8.69e-02	318068040	H3F3A	H3 histone, family 3A
ILMN_1657891	5.42e-02	1.66e-02	-2.40	-4.121195	-8.76e-02	87239980	TNKS	tankyrase
ILMN_1815425	5.42e-02	1.66e-02	-2.40	-4.12163	-6.95e-02	110349789	APOBEC4	apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4
ILMN_1676005	5.43e-02	1.66e-02	2.40	-4.122939	1.54e-01	222144292	KPNA1	karyopherin subunit alpha 1
ILMN_1744517	5.43e-02	1.66e-02	-2.40	-4.123392	-1.12e-01	189163509	GNS	glucosamine (N-acetyl)-6-sulfatase
ILMN_2262930	5.43e-02	1.67e-02	-2.40	-4.123556	-7.34e-02	589269228	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2
ILMN_1847612	5.43e-02	1.67e-02	-2.40	-4.123634	-7.15e-02	2324916		
ILMN_1705587	5.43e-02	1.67e-02	-2.40	-4.123698	-5.76e-02	NA		
ILMN_2398235	5.44e-02	1.67e-02	2.40	-4.124597	9.27e-02	335057532	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1
ILMN_1752086	5.44e-02	1.67e-02	2.40	-4.124678	1.21e-01	359718967	TRAPPC11	trafficking protein particle complex 11
ILMN_1675584	5.44e-02	1.67e-02	-2.40	-4.125321	-9.44e-02	209977115	HTRA4	HtrA serine peptidase 4
ILMN_2342695	5.45e-02	1.67e-02	-2.40	-4.125805	-1.56e-01	197333759	PDGFA	platelet derived growth factor subunit A
ILMN_1748730	5.45e-02	1.67e-02	-2.40	-4.126599	-1.58e-01	62526042	CTRC	chymotrypsin C
ILMN_1856039	5.45e-02	1.67e-02	-2.40	-4.126703	-1.07e-01	4986840		
ILMN_1752813	5.45e-02	1.67e-02	2.40	-4.127092	2.21e-03	45827766	UGT1A6	UDP glucuronosyltransferase family 1 member A6
ILMN_1815718	5.46e-02	1.67e-02	2.40	-4.128144	8.15e-02	379030594	BTRC	beta-transducin repeat containing E3 ubiquitin protein ligase
ILMN_1661032	5.46e-02	1.67e-02	-2.40	-4.128223	-1.14e-01	NA		
ILMN_3237376	5.46e-02	1.67e-02	-2.40	-4.128599	-1.69e-01	557440805	GRAMD1B	GRAM domain containing 1B
ILMN_1712532	5.47e-02	1.68e-02	2.40	-4.129429	2.13e-01	195927007	CARD9	caspase recruitment domain family member 9
ILMN_1728331	5.47e-02	1.68e-02	-2.40	-4.12957	-1.69e-01	18375509	ACPT	acid phosphatase, testicular
ILMN_1654421	5.47e-02	1.68e-02	2.40	-4.129799	1.75e-01	508083048	MPHOSPH9	M-phase phosphoprotein 9
ILMN_3239643	5.47e-02	1.68e-02	2.40	-4.129997	1.84e-02	212286160	LOC389332	uncharacterized LOC389332
ILMN_2298159	5.47e-02	1.68e-02	-2.40	-4.1307	-1.06e-01	172072683	PRDM1	PR/SET domain 1
ILMN_1699058	5.47e-02	1.68e-02	2.40	-4.130867	1.52e-01	NA		
ILMN_2150294	5.47e-02	1.68e-02	-2.40	-4.130982	-1.91e-01	381342472	FKBP14	FK506 binding protein 14
ILMN_1724501	5.47e-02	1.68e-02	-2.40	-4.131165	-7.10e-02	NA		
ILMN_1765686	5.47e-02	1.68e-02	-2.40	-4.131247	-8.31e-02	NA		
ILMN_3181347	5.48e-02	1.68e-02	-2.39	-4.131962	-1.42e-01	378548186	MRVI1-AS1	MRVI1 antisense RNA 1
ILMN_1788142	5.48e-02	1.68e-02	-2.39	-4.132673	-1.13e-01	NA		
ILMN_1764355	5.48e-02	1.68e-02	2.39	-4.133172	1.27e-02	375268697	GAMT	guanidinoacetate N-methyltransferase
ILMN_1891944	5.48e-02	1.68e-02	-2.39	-4.133277	-1.99e-01	2183515		
ILMN_1812031	5.49e-02	1.68e-02	-2.39	-4.133587	-9.79e-02	93141030	PALM	paralemmin
ILMN_3310141	5.49e-02	1.68e-02	-2.39	-4.133631	-9.70e-02	262205807	MIR16-2	microRNA 16-2
ILMN_3259223	5.49e-02	1.68e-02	2.39	-4.133659	1.89e-01	NA		
ILMN_1741159	5.49e-02	1.69e-02	-2.39	-4.134319	-1.45e-01	346644791	MAP3K8	mitogen-activated protein kinase kinase kinase 8
ILMN_1743299	5.49e-02	1.69e-02	2.39	-4.134562	1.37e-01	121114288	PEX2	peroxisomal biogenesis factor 2
ILMN_1726435	5.49e-02	1.69e-02	-2.39	-4.13478	-6.35e-02	NA		
